track.name,name,song_id,cluster_no
This Magic Moment - Crisp.nl Version,MassiveMusic,6uDlwsguxFDgbakvPyhChp,2
00h00,Hoosky,00LvjMnpznr4MZFSA8x9sA,6
00h00,La Fine Equipe,00LvjMnpznr4MZFSA8x9sA,6
00h00,oOgo,00LvjMnpznr4MZFSA8x9sA,6
00h00,Chomsk',00LvjMnpznr4MZFSA8x9sA,6
Under My Thumb,The Rolling Stones,3E8gEvhLia6w9lQv3hfxzM,5
Conquer Me,Jane B,2jjPlj6KFzCffJ7KVQMwHX,5
Dapper (feat. Anderson .Paak),Domo Genesis,3seHx466iTcUmWE9dOVB3v,6
Dapper (feat. Anderson .Paak),Anderson .Paak,3seHx466iTcUmWE9dOVB3v,6
Water Fountain,Tune-Yards,3pndgH9sLDTCWtCwr8LWt9,2
Sun Is Shining,Bob Marley & The Wailers,3PPigifoeEofIISQYbayMK,1
Ride A White Swan,T. Rex,3olQaoZDc2O1mFDod0evZI,0
Whatcha See Is Whatcha Get,The Dramatics,6J7uQ9vLtBqNikEhlKUOnu,2
In Love With You,Erykah Badu,6uI95ERPZV6tivkNWsOKet,0
In Love With You,Stephen Marley,6uI95ERPZV6tivkNWsOKet,0
Sunday Girl,Blondie,23yv078f5kc08Kj6DMpO0t,2
Sunday Girl,Mike Chapman,23yv078f5kc08Kj6DMpO0t,2
Two Weeks,Grizzly Bear,0iTpQYzJnYgh7kIxyq8A2O,2
Somebody to Love Me,Mark Ronson,2Tky1eOpdLXo8yYawnTMcj,5
Somebody to Love Me,The Business Intl,2Tky1eOpdLXo8yYawnTMcj,5
AH LA LA,Edgar de l'Est,0JBUms0CMKVARibROy8x7N,1
Gimme Shelter,Merry Clayton,318Vrl9zzFT7zT8BYKNhgP,6
Sam,Tim Knol,1jajG9Yo6m71VEpXx3uRzT,0
Intro / Stronger Than Me,Amy Winehouse,2pkKNXOwwEc8qgeQRtg6IJ,5
I'm a Steady Rollin' Man,Robert Johnson,5yxmp7HffmzRsrklr8xyrV,0
I Think We're Alone Now,Darlyn,0zEjqBMZNkUFCDUmuYoGxO,0
El Muro,Eskorzo Afrobeat Experience,2mu6r9KaIxj2CRrIcJTm0b,3
Rudeboy Shufflin,Israel Vibration,6nKvpwVXvwqWHYkv8W8v5g,1
Big In Japan,Britta Persson,4TFjClZKae5hkuegAzfKPC,5
This Sky,The Derek Trucks Band,7CF9D6br57ovVM7bo6B1jB,0
Water No Get Enemy,D'Angelo,4HUQeJ3p6NI3zIioBDvFuD,5
Water No Get Enemy,Fela Kuti,4HUQeJ3p6NI3zIioBDvFuD,5
Water No Get Enemy,Macy Gray,4HUQeJ3p6NI3zIioBDvFuD,5
Water No Get Enemy,Nile Rodgers,4HUQeJ3p6NI3zIioBDvFuD,5
Water No Get Enemy,Roy Hargrove,4HUQeJ3p6NI3zIioBDvFuD,5
Water No Get Enemy,The Soultronics,4HUQeJ3p6NI3zIioBDvFuD,5
Water No Get Enemy,Positive Force,4HUQeJ3p6NI3zIioBDvFuD,5
A Deusa Dos Orixás,Clara Nunes,5RKjI6OfKO2sjMpx67bkmm,2
Jackson (with June Carter Cash),Johnny Cash,73iwWviVbnrQRuzbsz023q,2
Jackson (with June Carter Cash),June Carter Cash,73iwWviVbnrQRuzbsz023q,2
Ghostwriter,RJD2,5Nn2Dj7OQsGL6pgQ9iIzPp,3
Body Music,AlunaGeorge,2D2p0eif9odHKFnRMIQU0w,5
Yesterday Was Hard On All Of Us - Radio Edit,Fink,0j1YhB6z2ucnz200ueyp2B,0
Carry,Ryan Montbleau,0J22fYZReDIiD5dBLzOyzl,0
Intentions,The Whitest Boy Alive,6NhuC3eym57grcOoZo4Jst,2
Can't Stop Now,Major Lazer,4V7vcixwGO7cwAdxJCYVYs,2
Can't Stop Now,Mr. Vegas,4V7vcixwGO7cwAdxJCYVYs,2
Can't Stop Now,Jovi Rockwell,4V7vcixwGO7cwAdxJCYVYs,2
Autumn Sun,Emilíana Torrini,4u0XMQsb1WPZnC9mlM68A4,0
Ooo Baby Baby,Smokey Robinson & The Miracles,2HcBa4FbX56sHRUvG8A0lr,4
Come and Get It,Beans & Fatback,7iuXdT8CcAik4crjwJ2NVf,2
Carmensita,Devendra Banhart,1CzcrUxj97grUPWZ8HC3Dz,5
Such a Night,Dr. John,3GppcLIGlSlvujXgR0pPRt,0
Nothing To Worry About,Peter Bjorn and John,4qaXgj5TezCSCZD6tnGNp0,2
Thieves In The Night,Hot Chip,42G8Aqqv0sKApmItJvJ8dx,2
Finally Moving,Pretty Lights,3WS7spXVlbeC5kjePmHMQW,3
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,5O6mz4qn6q7MSKubAzRnDW,6
Plastic Soul,YACHT,43p0RNDfD6lSnHrQJUeffT,2
Wait For Me,Susan Tedeschi,1l3bkDAw1rxeGrPweih1jh,6
I Get High On You,Sly Stone,0DKvBAgkajew9Mi2ZMZRXo,6
Roundabout Town,Fabiana Dammers,56ga742AkJ7eL8sVZFWaag,2
My Baby Just Cares for Me,Nina Simone,3Iizl7lLyHn0uWS64BOacY,0
Hot In Herre,Jenny Owen Youngs,2juY7nhQdfhhc4UHOOq2jq,2
Goodnight Moon,Shivaree,5jQPDVjgSGnNYl8G3H3qul,2
20:20 Vision - Remastered 2011,Rory Gallagher,77ku3NBquiW8kJIu2Ldz2m,2
Shotgun,Eugene McGuinness,46rPGnMRUK2MN1jdhZipic,5
Estan Llamando,Chico Mann,3F1VXvS7N6Jy0RN09WdBKw,3
Hands To Hold - Original Mix,Bob Moses,67bEWV1fH73M4Utu4Z13Kp,3
Electric,Go Back To The Zoo,0ErHM0nECzE60Jnt0NMeXy,2
Man Named Truth,Monsters Of Folk,2kIUsdizVjgQfGHvJTZtY5,6
Funky Chick,Lefties Soul Connection,1OJlJ1gEfx2dSlr59iWMAA,3
Wish You Were Here,Wyclef Jean,1PCBv0e6guRL2JvvAgXlcJ,2
Stay Useless,Cloud Nothings,34PLpJWhWw4IFFAd2PWgo5,2
Hit the Waves,The Mary Onettes,0SilRhksdfJMKVITSJOxIo,6
Our Day Will Come,Amy Winehouse,2Arl7cRrFiuDiHQjdMEXOU,5
One Past - OBF Remix,Chinese Man,0TrkWE0Lj5hSftkPGfmppy,3
One Past - OBF Remix,OBF,0TrkWE0Lj5hSftkPGfmppy,3
Take It Slow (Ferro+Chrome Mix),Joggo,6Tv0CGfc6KKJf2SR91GTfS,2
Afrodiziak,Bran Van 3000,2TY9MWNZJ3s78XvOlEBTji,5
Youth Dem Cold,Richie Spice,44NFd0LGevT1cxH8BoPZSP,1
Saudade,Chinese Man,0FCkSS3ai4slPIvoOfu6yO,5
Saudade,Femi Kuti,0FCkSS3ai4slPIvoOfu6yO,5
Saudade,Liliboy,0FCkSS3ai4slPIvoOfu6yO,5
Let's Stay Together,Al Green,7kWhdmRYv8CqbWNqfojqVd,0
Lulu Eiland,Kern Koppen,0VAFMyW6EXtZllWBnmKbSN,6
Nelson Mandela - 2002 Remastered Version,The Specials,57mY4qUaUegA3jvoyoz7oT,2
Habadabariwikidi (The Lovehopper),Urban Heroes,7b9r5votRwq8QYOXSUUwfQ,2
Diamond Head,The Treble Spankers,0R86LncvIGAt5299oZsfmp,5
Run Sister Run,Cass McCombs,1Ll36rj3jqbmRVSc3g1RAM,1
Too Young For Me,Jimi Jules,1ZPc6TYeCaeSgu8W8bV5jD,3
Too Young For Me,JAW,1ZPc6TYeCaeSgu8W8bV5jD,3
Faeded - Dub,Prace,75xnyitqdY8A3JyTZxQKxc,3
One Man Parade,James Taylor,5z3uleqWZt08aY3p8u9sIc,0
Watch Me Dance,Tom Misch,4vELW2hK9eb9R7Q0BNJ3Vh,0
Efils' God,Eels,5nt968onvYmCg8H1ckWEKH,3
Shout Out Loud,Amos Lee,6cDAuJu8XORfSZ9JNL2Ymx,2
Beautiful Strangers,Kevin Morby,0prVUHQu2xr6pI5iEbKtxo,0
Rude Boys Outa Jail,The Specials,3BC1w99O2lRvpZNYCIhpCP,2
Red Eyes,The War On Drugs,71jGGLe5VtEHjIk5dU2W3S,2
Unified,G. Love & Special Sauce,664T43rA0ZXvXHRxb3qrAi,2
Nuthin But Love,Jim Morey,43B1vxAfIpBmMbFPyoMAax,0
C.L.U.B.,MNDR,10dCb3llSSA47fc1NOLbCj,2
Crazy Sufferin Style,Selah Sue,0h7mLhLljtrHOa3aSQpAYC,2
Feel Good,Robin Thicke,4bTGxa0SKnLyuTp8TftBvO,2
Cooler Couleur (feat. Yelle),Crookers,76615pe5Ee0ELIEFsNU8Jm,2
Vondt i hjertet,Razika,5TzKsfDcGvlFql8ttd501B,2
Piece of the Rock,Mother's Finest,4Cg77xT2idYBAFNLTpmiHh,2
